CategoryID,DepartmentID,Name,ShortDescription,LongDescription,Sku,Manufacturer,Model,ManufacturerPartNumber,Upc,UseInventory,Stock,Weight,Price,RetailPrice,WholesalePrice,WholesalePrice2,WholesalePrice3,Keywords,Other1,Other2,Other3,Other4,Other5,IsEnabled,IsTaxable,IsTodaySpecial,IsDownloadable,DownloadPath,RelatedProducts,LargeImage1,IsZoom1,IsEnlarge1,LargeImage2,IsZoom2,IsEnlarge2,LargeImage3,IsZoom3,IsEnlarge3,LargeImage4,IsZoom4,IsEnlarge4,LargeImage5,IsZoom5,IsEnlarge5,LargeImage6,IsZoom6,IsEnlarge6,LargeImage7,IsZoom7,IsEnlarge7,LargeImage8,IsZoom8,IsEnlarge8,LargeImage9,IsZoom9,IsEnlarge9,LargeImage10,IsZoom10,IsEnlarge10,IsGiftCertificate,IsFreeShippingCost,IsFixedPrice,GiftAmount,ExpireType,FixedExpireDate,NumberOfDays,IsElectronic,UseOption,OptionGroupID1,UseStockOption1,OptionGroupID2,UseStockOption2,OptionGroupID3,UseStockOption3,OptionGroupID4,UseStockOption4,OptionGroupID5,UseStockOption5,OptionItemID1,OptionItemID2,OptionItemID3,OptionItemID4,OptionItemID5,IsRecurring,RecurringInterval,RecurringIntervalUnit,RecurringNumberOfCycles,RecurringNumberOfTrialCycles,RecurringTrialAmount,MetaKeyword,MetaDescription,IsAffiliate,MinQuantity,MaxQuantity,IsCustomPrice,DefaultPrice,MinimumPrice,IsCallForPrice,Brand,ReturnTime,IsProductKit,IsDynamicProductKitPrice,IsDynamicProductKitWeight,ProductKitGroupID,CreateDate,ViewCount
7,4|8,Round dining table,"A simple, high quality dining set made from natural oiled solid teak. combine with benches for a complete set or add your favorite chairs for a personal look. Benches are available in 2 sizes.","A simple, high quality dining set made from natural oiled solid teak. combine with benches for a complete set or add your favorite chairs for a personal look. Benches are available in 2 sizes.",RT001,,,,,Yes,300,2.3,539,650,539,0,0,Round Table,,,,,,Yes,0,No,No,,,Images/Products/Large/cherner_round_table_3_large2.jpg,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,,,,,,Yes,3,No,,,,,,,,,,,,,,No,,,,,,Round dining table,Rounding table with 2 size.,No,1,0,No,,,No,,3,No,No,No,,9/8/2555 17:44,3
7,8,Rison dining table,"Cherner tables are designed by Benjamin Cherner to compliment Cherner seating. Perfect in a formal or informal setting, the tables are strong and lightweight. Cherner tables are available in oval, round and rectangular shapes with molded plywood legs","Introduced in 2003, Cherner tables are designed by Benjamin Cherner to compliment Cherner seating. Perfect in a formal or informal setting, the tables are strong and lightweight. Cherner tables are available in oval, round and rectangular shapes with molded plywood legs. The round and oval tops are 1-1/8"" cross-ply plywood with a profiled exposed edge. The rectangular table is 1-1/8"" cross-ply plywood with a 1"" and 1/8"" solid edge band. Cherner Tables are made entirely in the U.S.A.",RT023,,,,,Yes,100,0,230,280,230,0,0,,,,,,,Yes,0,No,No,,,Images/Products/Large/risom_large2.jpg,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,,,,,,No,,,,,,,,,,,,,,,,No,,,,,,Rison dining table,Round dining table by knoll,No,1,0,No,,,No,,0,No,No,No,,9/8/2555 17:44,4
7,8,Cyclone dining table,Legs and aprons are constructed of solid maple hardwood and feature mortise and tenon joints.Clear maple tops are constructed of veneer with cathedral pattern and poplar cross bands and backing.,Legs and aprons are constructed of solid maple hardwood and feature mortise and tenon joints.Clear maple tops are constructed of veneer with cathedral pattern and poplar cross bands and backing. The core and edge feature solid maple hardwood lumber in clear finish. Ebonized tables feature stained walnut top. Core and edges are solid hardwood lumber.,RT42011,,,,,No,0,0,650,700,650,0,0,,,,,,,Yes,0,No,No,,,Images/Products/Large/nog_main_large2.jpg,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,,,,,,No,,,,,,,,,,,,,,,,No,,,,,,Cyclone dining table,Cyclone dining table,No,1,0,No,,,No,,0,No,No,No,,9/8/2555 17:44,5
8,4|8,Chrome coffee table,"Legs screw together to make a strong joint. Solid walnut stretchers bolt to the legs to complete the stable, durable base common to the desk and tables.","<p><strong><span class=""caps"">STRENGTH</span> <span class=""caps"">AND</span> <span class=""caps"">STABILITY</span></strong><br /><BR>Legs screw together to make a strong joint. Solid walnut stretchers bolt to the legs to complete the stable, durable base common to the desk and tables.</p><BR><p><strong><span class=""caps"">MADE</span> <span class=""caps"">FOR</span> <span class=""caps"">QUICK</span> <span class=""caps"">ASSEMBLY</span></strong> <br /><BR>As with the original design, the swag leg tables and desk come ready to assemble to make shipping easy and economical.</p>",RR05531,,,,,No,0,0,1200,1500,1200,0,0,,,,,,,Yes,0,No,No,,,Images/Products/Large/barc_1_large2.jpg,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,,,,,,No,,,,,,,,,,,,,,,,No,,,,,,Chrome coffee table,Rectangle coffee table,No,1,0,No,,,No,,0,No,No,No,,9/8/2555 17:44,6
8,8,Square side table,"Cherner tables are designed by Benjamin Cherner to compliment Cherner seating. Perfect in a formal or informal setting, the tables are strong and lightweight.","Cherner tables are designed by Benjamin Cherner to compliment Cherner seating. Perfect in a formal or informal setting, the tables are strong and lightweight. Cherner tables are available in oval, round and rectangular shapes with molded plywood legs.",RRT0012,,,,,Yes,120,0,1100,1200,1100,0,0,,,,,,,Yes,0,No,No,,,Images/Products/Large/Florence_knoll_coffee_table_large2.jpg,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,,,,,,No,,,,,,,,,,,,,,,,No,,,,,,Square side table,Square side table,No,1,0,No,,,No,,0,No,No,No,,9/8/2555 17:44,7
8,8,Florence rectangle table,Coated marble tops feature a transparent polyester coating to help eliminate use-associated stains Natural marble and natural granite tops feature a protective sealer,Metal frame is available in either a polished chrome or satin chrome finish.,RRT044,,,,,Yes,56,0,1299,1500,1299,0,0,,,,,,,Yes,0,No,No,,,Images/Products/Large/eames1_large2.jpg,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,,,,,,No,,,,,,,,,,,,,,,,No,,,,,,Florence rectangle table,Florence rectangle dining table,No,1,0,No,,,No,,0,No,No,No,,9/8/2555 17:44,8
8,5,Envelop desk,Your Sense desk arrives unassembled. But don’t worry! You’ll be able to assemble it in seconds because the pieces snap or click into place.,"Your Sense desk arrives unassembled. But don’t worry! You’ll be able to assemble it in seconds because the pieces snap or click into place. You don’t even need tools. No tools needed to adjust the desk height either. The desk’s legs can be moved up or down, by twisting and locking, to change desktop height to anywhere between 24 and 33 inches.",RDT0023,,,,,Yes,40,0,680,700,680,0,0,,,,,,,Yes,0,No,No,,,Images/Products/Large/trundle_desk_2_large2.jpg,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,,,,,,No,,,,,,,,,,,,,,,,No,,,,,,Envelop desk,A desk design for beginner,No,1,0,No,,,No,,0,No,No,No,,9/8/2555 17:44,9
8,5,Airia Desk by Herman Miller,"With it’s Solid walnut frame, sculptural curves, angles, and edges evoke fine furniture design and balance the high-performance white laminate surface.","With it’s Solid walnut frame, sculptural curves, angles, and edges evoke fine furniture design and balance the high-performance white laminate surface. An elevated secondary surface supports small peripherals and keeps the primary surface free of clutter",RDT0032,,,,,No,0,0,569,600,569,0,0,,,,,,,Yes,0,No,No,,,Images/Products/Large/sense4_large2.jpg,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,,,,,,No,,,,,,,,,,,,,,,,No,,,,,,Airia Desk by Herman Miller,Perfect for office use,No,1,0,No,,,No,,0,No,No,No,,9/8/2555 17:44,10
5,4,One Night Stand sofa,"Understanding that people don’t just perch on the edge of sofa seat cushions, designer Mark Goetz made sure that his sofa would be comfortable, no matter what position you were in.","Understanding that people don’t just perch on the edge of sofa seat cushions, designer Mark Goetz made sure that his sofa would be comfortable, no matter what position you were in.",SF0086,,,,,No,0,0,760,800,760,0,0,,,,,,,Yes,0,No,No,,,Images/Products/Large/one_night_stand_by_bludot_large2.jpg,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,,,,,,No,,,,,,,,,,,,,,,,No,,,,,,One Night Stand sofa,One Night Stand by BluDot,No,1,0,No,,,No,,0,No,No,No,,9/8/2555 17:44,11
5,4,Blue costa rica,"It’s a sleeper sofa that doesn’t look like one. Sort of like a wolf in sheep’s clothing. Just remove the back cushions and flip the seat forward. Voila, instant queen sized mattress.","It’s a sleeper sofa that doesn’t look like one. Sort of like a wolf insheep’s clothing. Just remove the back cushions and flip the seatforward. Voila, instant queen sized mattress.<br /><BR><br /><BR>One night stand features brushed stainless steel legs and is availablein charcoal, rust, smog and smoke wool blend upholstery. <br />",SF0001,,,,,Yes,16,0,1899,2012,1899,0,0,,,,,,,Yes,0,Yes,No,,,Images/Products/Large/Blu_Dot_One_NIght_Stand_large.jpg,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,,,,,,No,,,,,,,,,,,,,,,,No,,,,,,Blue costa rica,One night stand sofa,No,1,0,No,,,No,,0,No,No,No,,9/8/2555 17:44,12
